article,topic,cluster
Analisis Implementasi Animasi UI XML dan Jetpack Compose pada Aplikasi Android Menggunakan Bahasa Pemrograman Kotlin,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Eksperimen Penerapan React Context dan Redux Sebagai State Management Pada Framework React-JS,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Klasifikasi Layanan Informasi Fakultas Ilmu Komputer Universitas Brawijaya Melalui Retrieval-based Chatbot Menggunakan Metode Naïve Bayes dan TF-IDF,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Kombinasi Hasil Inferensi Algoritma YOLOv8 dan Faster R-CNN dalam Isnpeksi Kualitas Underbody Mobil (Studi Kasus Pada Perusahaan Otomotif Indonesia),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Protokol AODV menggunakan ESP-Now pada Wireless Sensor Network berbasis ESP32,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Metode Support Vector Machine Pada Sistem Monitoring Kelelahan Otot Berdasarkan Fitur Root Mean Square,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Decision Based Velocity Ramp untuk Mengoptimalkan Gerakan Lengan Prostetik Bionik,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengaruh Information Communication Technology (ICT) Pada Energi Terbarukan Mnggunakan GRU dan Ridge Regression,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Perbandingan Student Engagement pada Online Course Pemrograman dengan Penerapan Fitur Online Compiler,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Modifikasi Dataset Fer-2013 Berdasarkan Augmentasi Data Dan Smote Untuk Klasifikasi Raut Wajah Menggunakan Convolutional Neural Network (CNN),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perbedaan Minat Belajar Siswa Menggunakan Media Pembelajaran Permainan Edukasi Role Playing Game Terhadap Siswa Kelas X-TKJ SMK PGRI 3 Malang,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Deteksi Pemandu pada Kursi Roda Pintar dengan Metode Histogram Equalization dan YOLOv8 pada Pencahayaan Rendah,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perancangan Sistem Pendukung Keputusan Pemilihan Menu Pendamping ASI Dengan Metode MOORA,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengaruh Pemanfaatan Media Pembelajaran Interaktif AhaSlides terhadap Hasil Belajar Siswa Mata Pelajaran Pemrograman Dasar pada Konteks Metode Pembelajaran Problem Based Learning,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
MEKANISME PENYEDIAAN LAYANAN PADA PERANGKAT SMART HOME BERBASIS ESP32 MENGGUNAKAN PENDEKATAN ANN,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Sentimen Masyarakat Terhadap Layanan Ub Press Dengan Menggunakan Metode Naïve Bayes Dan Lexicon-Based Features,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Sistem Klasifikasi Ikan Teri Asin Berformalin dan Tidak Berformalin Menggunakan Metode K-Nearest Neighbor Berbasis Weighted Euclidean Distance,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengembangan Aplikasi Bimbingan Akademik Mahasiswa Filkom Menggunakan Pendekatan Multi-Platform dengan Metode Agile System Development,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Pengaruh Media Sosial terhadap Minat Kunjungan ke Program Masjid Raden Patah Universitas Brawijaya,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Pengembangan E-Modul Interaktif Menggunakan Model ADDIE Pada Mata Pelajaran Komputer dan Jaringan Dasar Kelas X Jurusan TKJ Di SMKN 7 Malang,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis Faktor-Faktor yang Mempengaruhi Kepuasan Pengguna Sistem Informasi Manajemen Pendidikan di Tingkat Perguruan Tinggi,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
KLASIFIKASI MINUMAN JAMU BERAS KENCUR DAN KUNIR ASEM MENGGUNAKAN METODE K-NEAREST NEIGHBOR BERBASIS ARDUINO UNO,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
"Analisis Pengaruh Iklan TikTok Terhadap Minat Beli pada E-commerce Melalui Penggunaan Influencer, Keyakinan Iklan, Daya Tarik Iklan, dan Relevansi Iklan","belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Perancangan Interaksi Untuk Talent Management System Di Sub Unit Human Capital Communication & Employer Branding PT Telkom Indonesia (Persero) Tbk Menggunakan Goal-Directed Design,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Analisis dan Evaluasi Proses Bisnis pada Faktor Customer Menggunakan Metode Business Process Improvement Framework (Studi Kasus : PT XYZ),"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Implementasi Metode Naive Bayes untuk Klasifikasi Kelayakan Yoghurt Berdasarkan Warna dan pH berbasis Arduino,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
Studi Komparatif Layanan Transfer Mobile Banking dari Perspektif Proses dan Metode Autentikasi serta Pengalaman Pengguna,"belajar, pembelajaran, mata, pelajaran, siswa, smk, malang, hasil, negeri, terhadap",0
